+----------+-----------------+-----------------+--------+-----------+-----------+----------------+
| PlayerID | PlayerName      | PlayerTrueName  | League | TeamName3 | Year      | GameIDFound    |
|       30 | Parker          | T. Parker       | NBA    | SAN       | 2005-2006 | 20051101DENSAS |
|       30 | T. Parker       | T. Parker       | NBA    | SAN       | 2005-2006 | 20051105SASDAL |
|       31 | A. Miller       | A. Miller       | NBA    | DEN       | 2005-2006 | 20051109SACDEN |
|       31 | Miller          | A. Miller       | NBA    | DEN       | 2005-2006 | 20051101DENSAS |
|       32 | Horry           | Horry           | NBA    | SAN       | 2005-2006 | 20051101DENSAS |
|       33 | Barry           | Barry           | NBA    | SAN       | 2005-2006 | 20051101DENSAS |
|       34 | Nene            | Nene            | NBA    | DEN       | 2005-2006 | 20051101DENSAS |
|       35 | Boykins         | Boykins         | NBA    | DEN       | 2005-2006 | 20051101DENSAS |
|       36 | Najera          | Najera          | NBA    | DEN       | 2005-2006 | 20051101DENSAS |
|       37 | Oberto          | Oberto          | NBA    | SAN       | 2005-2006 | 20051101DENSAS |
|       38 | Van Exel        | Van Exel        | NBA    | SAN       | 2005-2006 | 20051101DENSAS |
|       39 | Buckner         | Buckner         | NBA    | DEN       | 2005-2006 | 20051101DENSAS |
|       40 | Mohammed        | Mohammed        | NBA    | SAN       | 2005-2006 | 20051101DENSAS |
|       41 | D. Johnson      | D. Johnson      | NBA    | DEN       | 2005-2006 | 20051115DENDAL |
|       41 | Johnson         | D. Johnson      | NBA    | DEN       | 2005-2006 | 20051101DENSAS |
|       42 | Elson           | Elson           | NBA    | DEN       | 2005-2006 | 20051101DENSAS |
|       44 | Webber          | Webber          | NBA    | PHL       | 2005-2006 | 20051101MILPHI |
|       45 | Redd            | Redd            | NBA    | MIL       | 2005-2006 | 20051101MILPHI |
|       46 | Iverson         | Iverson         | NBA    | PHL       | 2005-2006 | 20051101MILPHI |
|       47 | Ford            | T. Ford         | NBA    | MIL       | 2005-2006 | 20051101MILPHI |
|       47 | T. Ford         | T. Ford         | NBA    | MIL       | 2005-2006 | 20051212MILNYK |
|       48 | Simmons         | Simmons         | NBA    | MIL       | 2005-2006 | 20051101MILPHI |
|       49 | Bogut           | Bogut           | NBA    | MIL       | 2005-2006 | 20051101MILPHI |
|       50 | Hunter          | S. Hunter       | NBA    | PHL       | 2005-2006 | 20051101MILPHI |
|       50 | S. Hunter       | S. Hunter       | NBA    | PHL       | 2005-2006 | 20060329DETPHI |
|       51 | Magloire        | Magloire        | NBA    | MIL       | 2005-2006 | 20051101MILPHI |
|       52 | Iguodala        | Iguodala        | NBA    | PHL       | 2005-2006 | 20051101MILPHI |
|       53 | J. Thomas       | J. Thomas       | NBA    | CHI       | 2005-2006 | Transaction Li |
|       53 | Thomas          | Thomas          | NBA    | PHL       | 2005-2006 | 20051101MILPHI |
|       53 | Thomas          | J. Thomas       | NBA    | CHI       | 2005-2006 | Transaction Li |
|       54 | Korver          | Korver          | NBA    | PHL       | 2005-2006 | 20051101MILPHI |
|       55 | M. Williams     | M. Williams     | NBA    | MIL       | 2005-2006 | 20051101MILPHI |
|       55 | Williams        | M. Williams     | NBA    | MIL       | 2005-2006 | 20051102MILNJN |
|       56 | Gadzuric        | Gadzuric        | NBA    | MIL       | 2005-2006 | 20051101MILPHI |
|       57 | Nailon          | L. Nailon       | NBA    | CLE       | 2005-2006 | Transaction Li |
|       57 | Nailon          | Nailon          | NBA    | PHL       | 2005-2006 | 20051101MILPHI |
|       58 | Kukoc           | Kukoc           | NBA    | MIL       | 2005-2006 | 20051101MILPHI |
|       59 | Salmons         | Salmons         | NBA    | PHL       | 2005-2006 | 20051101MILPHI |
|       60 | Bell            | C. Bell         | NBA    | MIL       | 2005-2006 | 20051101MILPHI |
|       60 | C. Bell         | C. Bell         | NBA    | MIL       | 2005-2006 | 20060301MILPHX |
|       61 | Ollie           | Ollie           | NBA    | PHL       | 2005-2006 | 20051101MILPHI |
|       62 | Wells           | Wells           | NBA    | SAC       | 2005-2006 | 20051101SACNOK |
|       63 | Smith           | J. Smith        | NBA    | NOK       | 2005-2006 | 20051101SACNOK |
|       63 | J. Smith        | J. Smith        | NBA    | NOK       | 2005-2006 | 20051109ORLNOK |
|       64 | Abdur-Rahim     | Abdur-Rahim     | NBA    | SAC       | 2005-2006 | 20051101SACNOK |
|       65 | Miller          | B. Miller       | NBA    | SAC       | 2005-2006 | 20051102SACHOU |
|       65 | B. Miller       | B. Miller       | NBA    | SAC       | 2005-2006 | 20051101SACNOK |
|       66 | Brown           | P. Brown        | NBA    | NOK       | 2005-2006 | 20051101SACNOK |
|       66 | P. Brown        | P. Brown        | NBA    | NOK       | 2005-2006 | 20051102NOKCLE |
|       67 | Stojakovic      | Stojakovic      | NBA    | SAC       | 2005-2006 | 20051101SACNOK |
|       67 | Stojakovic      | P. Stojakovic   | NBA    | IND       | 2005-2006 | Transaction Li |
|       68 | Bibby           | M. Bibby        | NBA    | SAC       | 2005-2006 | 20051101SACNOK |
|       68 | M. Bibby        | M. Bibby        | NBA    | SAC       | 2005-2006 | 20060124SACPHI |
|       69 | D. West         | D. West         | NBA    | NOK       | 2005-2006 | 20051207BOSNOK |
|       69 | West            | D. West         | NBA    | NOK       | 2005-2006 | 20051101SACNOK |
|       70 | Paul            | Paul            | NBA    | NOK       | 2005-2006 | 20051101SACNOK |
|       71 | Nachbar         | B. Nachbar      | NBA    | NJN       | 2005-2006 | Transaction Li |
|       71 | Nachbar         | Nachbar         | NBA    | NOK       | 2005-2006 | 20051101SACNOK |
|       72 | Claxton         | Claxton         | NBA    | NOK       | 2005-2006 | 20051101SACNOK |
|       73 | Andersen        | Andersen        | NBA    | NOK       | 2005-2006 | 20051101SACNOK |
|       74 | Thomas          | K. Thomas       | NBA    | SAC       | 2005-2006 | 20051101SACNOK |
|       74 | K. Thomas       | K. Thomas       | NBA    | SAC       | 2005-2006 | 20051106SACPHX |
|       75 | Hart            | Hart            | NBA    | SAC       | 2005-2006 | 20051101SACNOK |
|       76 | Butler          | R. Butler       | NBA    | NOK       | 2005-2006 | 20051101SACNOK |
|       76 | R. Butler       | R. Butler       | NBA    | NOK       | 2005-2006 | 20060120NOKWAS |
|       77 | K. Martin       | K. Martin       | NBA    | SAC       | 2005-2006 | 20051109SACDEN |
|       77 | Martin          | K. Martin       | NBA    | SAC       | 2005-2006 | 20051101SACNOK |
|       78 | Skinner         | B. Skinner      | NBA    | POR       | 2005-2006 | Transaction Li |
|       78 | Skinner         | Skinner         | NBA    | SAC       | 2005-2006 | 20051101SACNOK |
|       79 | Mason           | Mason           | NBA    | NOK       | 2005-2006 | 20051101SACNOK |
|       80 | Garcia          | Garcia          | NBA    | SAC       | 2005-2006 | 20051101SACNOK |
|       81 | Vroman          | Vroman          | NBA    | NOK       | 2005-2006 | 20051101SACNOK |
|       82 | Williamson      | Williamson      | NBA    | SAC       | 2005-2006 | 20051101SACNOK |
|       83 | Bass            | Bass            | NBA    | NOK       | 2005-2006 | 20051101SACNOK |
|       84 | Macijauskas     | Macijauskas     | NBA    | NOK       | 2005-2006 | 20051101SACNOK |
|       85 | Price           | Price           | NBA    | SAC       | 2005-2006 | 20051101SACNOK |
|       86 | J. Johnson      | J. Johnson      | NBA    | ATL       | 2005-2006 | 20051117ATLDAL |
|       86 | Johnson         | J. Johnson      | NBA    | ATL       | 2005-2006 | 20051102ATLGSW |
|       87 | Davis           | B. Davis        | NBA    | GOS       | 2005-2006 | 20051102ATLGSW |
|       87 | B. Davis        | B. Davis        | NBA    | GOS       | 2005-2006 | 20051106GSWNYK |
|       88 | Pachulia        | Pachulia        | NBA    | ATL       | 2005-2006 | 20051102ATLGSW |
|       89 | Murphy          | Murphy          | NBA    | GOS       | 2005-2006 | 20051102ATLGSW |
|       90 | J. Richardson   | J. Richardson   | NBA    | GOS       | 2005-2006 | 20051106GSWNYK |
|       90 | Richardson      | J. Richardson   | NBA    | GOS       | 2005-2006 | 20051102ATLGSW |
|       91 | Childress       | Childress       | NBA    | ATL       | 2005-2006 | 20051102ATLGSW |
|       92 | M. Dunleavy     | M. Dunleavy     | NBA    | GOS       | 2005-2006 | 20051120GSWLAC |
|       92 | Dunleavy        | M. Dunleavy     | NBA    | GOS       | 2005-2006 | 20051102ATLGSW |
|       93 | Foyle           | Foyle           | NBA    | GOS       | 2005-2006 | 20051102ATLGSW |
|       94 | J. Smith        | J. Smith        | NBA    | ATL       | 2005-2006 | 20051102ATLGSW |
|       95 | Harrington      | A. Harrington   | NBA    | ATL       | 2005-2006 | 20051102ATLGSW |
|       95 | A. Harrington   | A. Harrington   | NBA    | ATL       | 2005-2006 | 20060128ATLCHI |
|       96 | Lue             | Lue             | NBA    | ATL       | 2005-2006 | 20051102ATLGSW |
|       97 | M. Williams     | M. Williams     | NBA    | ATL       | 2005-2006 | 20051105ATLPOR |
|       97 | Williams        | M. Williams     | NBA    | ATL       | 2005-2006 | 20051102ATLGSW |
|       98 | Pietrus         | Pietrus         | NBA    | GOS       | 2005-2006 | 20051102ATLGSW |
|       99 | Edwards         | Edwards         | NBA    | ATL       | 2005-2006 | 20051102ATLGSW |
|      100 | Stoudamire      | S. Stoudamire   | NBA    | ATL       | 2005-2006 | 20051102ATLGSW |
|      100 | S. Stoudamire   | S. Stoudamire   | NBA    | ATL       | 2005-2006 | 20051112MEMATL |
|      101 | Biedrins        | Biedrins        | NBA    | GOS       | 2005-2006 | 20051102ATLGSW |
|      102 | Batista         | Batista         | NBA    | ATL       | 2005-2006 | 20051102ATLGSW |
|      103 | Fisher          | Fisher          | NBA    | GOS       | 2005-2006 | 20051102ATLGSW |
|      104 | Taft            | Taft            | NBA    | GOS       | 2005-2006 | 20051102ATLGSW |
|      105 | Cheaney         | Cheaney         | NBA    | GOS       | 2005-2006 | 20051102ATLGSW |
|      106 | D. Smith        | D. Smith        | NBA    | ATL       | 2005-2006 | 20051102ATLGSW |
|      107 | Cabarkapa       | Cabarkapa       | NBA    | GOS       | 2005-2006 | 20051102ATLGSW |
|      108 | A. Miles        | A. Miles        | NBA    | GOS       | 2005-2006 | 20051104UTAGSW |
|      108 | Miles           | A. Miles        | NBA    | GOS       | 2005-2006 | 20051102ATLGSW |
|      109 | Ivey            | Ivey            | NBA    | ATL       | 2005-2006 | 20051102ATLGSW |
|      110 | Hinrich         | Hinrich         | NBA    | CHI       | 2005-2006 | 20051102CHACHI |
|      111 | G. Wallace      | G. Wallace      | NBA    | CHA       | 2005-2006 | 20051217DETCHA |
|      111 | Wallace         | G. Wallace      | NBA    | CHA       | 2005-2006 | 20051102CHACHI |
|      112 | Nocioni         | Nocioni         | NBA    | CHI       | 2005-2006 | 20051102CHACHI |
|      113 | Duhon           | Duhon           | NBA    | CHI       | 2005-2006 | 20051102CHACHI |
|      114 | Knight          | Knight          | NBA    | CHA       | 2005-2006 | 20051102CHACHI |
|      115 | Brezec          | Brezec          | NBA    | CHA       | 2005-2006 | 20051102CHACHI |
|      116 | Rush            | Rush            | NBA    | CHA       | 2005-2006 | 20051102CHACHI |
|      117 | Okafor          | Okafor          | NBA    | CHA       | 2005-2006 | 20051102CHACHI |
|      118 | Chandler        | Chandler        | NBA    | CHI       | 2005-2006 | 20051102CHACHI |
|      119 | Gordon          | Gordon          | NBA    | CHI       | 2005-2006 | 20051102CHACHI |
|      120 | Sweetney        | Sweetney        | NBA    | CHI       | 2005-2006 | 20051102CHACHI |
|      121 | Songaila        | Songaila        | NBA    | CHI       | 2005-2006 | 20051102CHACHI |
|      122 | Deng            | Deng            | NBA    | CHI       | 2005-2006 | 20051102CHACHI |
|      123 | Ely             | Ely             | NBA    | CHA       | 2005-2006 | 20051102CHACHI |
|      124 | Harrington      | O. Harrington   | NBA    | CHI       | 2005-2006 | 20051102CHACHI |
|      124 | O. Harrington   | O. Harrington   | NBA    | CHI       | 2005-2006 | 20060128ATLCHI |
|      125 | Left1105-Tim T. | T. Thomas       | NBA    | CHI       | 2005-2006 | 20051102CHACHI |
|      125 | T. Thomas       | T. Thomas       | NBA    | PHX       | 2005-2006 | Transaction Li |
|      126 | Felton          | Felton          | NBA    | CHA       | 2005-2006 | 20051102CHACHI |
|      127 | May             | May             | NBA    | CHA       | 2005-2006 | 20051102CHACHI |
|      128 | Carroll         | Carroll         | NBA    | CHA       | 2005-2006 | 20051102CHACHI |
|      129 | Jones           | J. Jones        | NBA    | CHA       | 2005-2006 | 20051102CHACHI |
|      129 | J. Jones        | J. Jones        | NBA    | CHA       | 2005-2006 | 20051118CHAIND |
|      130 | Allen           | M. Allen        | NBA    | CHI       | 2005-2006 | 20051102CHACHI |
|      130 | M. Allen        | M. Allen        | NBA    | CHI       | 2005-2006 | 20051217BOSCHI |
|      131 | Piatkowski      | Piatkowski      | NBA    | CHI       | 2005-2006 | 20051102CHACHI |
|      132 | Okur            | Okur            | NBA    | UTH       | 2005-2006 | 20051102DALUTA |
|      133 | Giricek         | Giricek         | NBA    | UTH       | 2005-2006 | 20051102DALUTA |
|      134 | McLeod          | McLeod          | NBA    | UTH       | 2005-2006 | 20051102DALUTA |
|      135 | Ostertag        | Ostertag        | NBA    | UTH       | 2005-2006 | 20051102DALUTA |
|      136 | Kirilenko       | Kirilenko       | NBA    | UTH       | 2005-2006 | 20051102DALUTA |
|      137 | J. Collins      | J. Collins      | NBA    | UTH       | 2005-2006 | 20051109UTANJN |
|      137 | Collins         | J. Collins      | NBA    | UTH       | 2005-2006 | 20051102DALUTA |
|      138 | Harpring        | Harpring        | NBA    | UTH       | 2005-2006 | 20051102DALUTA |
|      139 | Williams        | D. Williams     | NBA    | UTH       | 2005-2006 | 20051102DALUTA |
|      139 | D. Williams     | D. Williams     | NBA    | UTH       | 2005-2006 | 20051111UTATOR |
|      140 | Brown           | D. Brown        | NBA    | UTH       | 2005-2006 | 20051102DALUTA |
|      140 | D. Brown        | D. Brown        | NBA    | UTH       | 2005-2006 | 20051114NYKUTA |
|      141 | Humphries       | Humphries       | NBA    | UTH       | 2005-2006 | 20051102DALUTA |
|      142 | Palacio         | Palacio         | NBA    | UTH       | 2005-2006 | 20051102DALUTA |
|      143 | J. O'Neal       | J. O'Neal       | NBA    | IND       | 2005-2006 | 20051103INDMIA |
|      143 | O'Neal          | J. O'Neal       | NBA    | IND       | 2005-2006 | 20051102INDORL |
|      144 | Battie          | Battie          | NBA    | ORL       | 2005-2006 | 20051102INDORL |
|      145 | Artest          | R. Artest       | NBA    | SAC       | 2005-2006 | Transaction Li |
|      145 | Artest          | Artest          | NBA    | IND       | 2005-2006 | 20051102INDORL |
|      146 | Francis         | Francis         | NBA    | ORL       | 2005-2006 | 20051102INDORL |
|      146 | Francis         | S. Francis      | NBA    | NYK       | 2005-2006 | Transaction Li |
|      147 | Jackson         | S. Jackson      | NBA    | IND       | 2005-2006 | 20051102INDORL |
|      147 | S. Jackson      | S. Jackson      | NBA    | IND       | 2005-2006 | 20051111NJNIND |
|      148 | Stevenson       | Stevenson       | NBA    | ORL       | 2005-2006 | 20051102INDORL |
|      149 | D. Howard       | D. Howard       | NBA    | ORL       | 2005-2006 | 20051108ORLHOU |
|      149 | Howard          | D. Howard       | NBA    | ORL       | 2005-2006 | 20051102INDORL |
|      150 | Croshere        | Croshere        | NBA    | IND       | 2005-2006 | 20051102INDORL |
|      151 | Turkoglu        | Turkoglu        | NBA    | ORL       | 2005-2006 | 20051102INDORL |
|      152 | Tinsley         | Tinsley         | NBA    | IND       | 2005-2006 | 20051102INDORL |
|      153 | Jasikevicius    | Jasikevicius    | NBA    | IND       | 2005-2006 | 20051102INDORL |
|      154 | Jones           | F. Jones        | NBA    | IND       | 2005-2006 | 20051102INDORL |
|      154 | F. Jones        | F. Jones        | NBA    | IND       | 2005-2006 | 20051116INDCHA |
|      155 | Granger         | Granger         | NBA    | IND       | 2005-2006 | 20051102INDORL |
|      156 | B. Outlaw       | B. Outlaw       | NBA    | ORL       | 2005-2006 | 20051115CHAORL |
|      156 | Outlaw          | B. Outlaw       | NBA    | ORL       | 2005-2006 | 20051102INDORL |
|      157 | Bender          | Bender          | NBA    | IND       | 2005-2006 | 20051102INDORL |
|      158 | J. Nelson       | J. Nelson       | NBA    | ORL       | 2005-2006 | 20060303ORLPHX |
|      158 | Nelson          | J. Nelson       | NBA    | ORL       | 2005-2006 | 20051102INDORL |
|      159 | Harrison        | Harrison        | NBA    | IND       | 2005-2006 | 20051102INDORL |
|      160 | Cato            | K. Cato         | NBA    | DET       | 2005-2006 | Transaction Li |
|      160 | Cato            | Cato            | NBA    | ORL       | 2005-2006 | 20051102INDORL |
|      161 | Garrity         | Garrity         | NBA    | ORL       | 2005-2006 | 20051102INDORL |
|      162 | Walker          | S. Walker       | NBA    | IND       | 2005-2006 | 20051102INDORL |
|      162 | S. Walker       | S. Walker       | NBA    | IND       | 2005-2006 | 20051103INDMIA |
|      163 | Evans           | R. Evans        | NBA    | DEN       | 2005-2006 | Transaction Li |
|      163 | R. Evans        | R. Evans        | NBA    | DEN       | 2005-2006 | 20060301DETDEN |
|      163 | R. Evans        | R. Evans        | NBA    | SEA       | 2005-2006 | 20060106SEADET |
|      163 | Evans           | R. Evans        | NBA    | SEA       | 2005-2006 | 20051102LACSEA |
|      164 | Kaman           | Kaman           | NBA    | LAC       | 2005-2006 | 20051102LACSEA |
|      165 | Cassell         | Cassell         | NBA    | LAC       | 2005-2006 | 20051102LACSEA |
|      166 | R. Allen        | R. Allen        | NBA    | SEA       | 2005-2006 | 20051116SEABOS |
|      166 | Allen           | R. Allen        | NBA    | SEA       | 2005-2006 | 20051102LACSEA |
|      167 | Brand           | Brand           | NBA    | LAC       | 2005-2006 | 20051102LACSEA |
|      168 | Petro           | Petro           | NBA    | SEA       | 2005-2006 | 20051102LACSEA |
|      169 | Ross            | Ross            | NBA    | LAC       | 2005-2006 | 20051102LACSEA |
|      170 | Lewis           | R. Lewis        | NBA    | SEA       | 2005-2006 | 20060412SEANOK |
|      170 | R. Lewis        | R. Lewis        | NBA    | SEA       | 2005-2006 | 20051102LACSEA |
|      171 | Mobley          | Mobley          | NBA    | LAC       | 2005-2006 | 20051102LACSEA |
|      172 | Collison        | Collison        | NBA    | SEA       | 2005-2006 | 20051102LACSEA |
|      173 | Ridnour         | Ridnour         | NBA    | SEA       | 2005-2006 | 20051102LACSEA |
|      174 | R. Murray       | R. Murray       | NBA    | SEA       | 2005-2006 | 20060128NJNSEA |
|      174 | Murray          | R. Murray       | NBA    | CLE       | 2005-2006 | Transaction Li |
|      174 | F. Murray       | R. Murray       | NBA    | CLE       | 2005-2006 | 20060408CLENJN |
|      174 | Murray          | R. Murray       | NBA    | SEA       | 2005-2006 | 20051102LACSEA |
|      175 | Fortson         | Fortson         | NBA    | SEA       | 2005-2006 | 20051102LACSEA |
|      176 | Wilkins         | Wilkins         | NBA    | SEA       | 2005-2006 | 20051102LACSEA |
|      177 | D. Ewing        | D. Ewing        | NBA    | LAC       | 2005-2006 | 20051217HOULAC |
|      177 | Ewing           | D. Ewing        | NBA    | LAC       | 2005-2006 | 20051102LACSEA |
|      178 | Singleton       | Singleton       | NBA    | LAC       | 2005-2006 | 20051102LACSEA |
|      179 | Goldwire        | Goldwire        | NBA    | LAC       | 2005-2006 | 20051102LACSEA |
|      180 | Radmanovic      | Radmanovic      | NBA    | SEA       | 2005-2006 | 20051102LACSEA |
|      180 | Radmanovic      | V. Radmanovic   | NBA    | LAC       | 2005-2006 | Transaction Li |
|      181 | Wilcox          | Wilcox          | NBA    | LAC       | 2005-2006 | 20051102LACSEA |
|      181 | Wilcox          | C. Wilcox       | NBA    | SEA       | 2005-2006 | Transaction Li |
|      182 | Brunson         | R. Brunson      | NBA    | HOU       | 2005-2006 | Transaction Li |
|      182 | Brunson         | Brunson         | NBA    | SEA       | 2005-2006 | 20051102LACSEA |
|      183 | Rebraca         | Rebraca         | NBA    | LAC       | 2005-2006 | 20051102LACSEA |
|      185 | S. Parker       | S. Parker       | NBA    | LAL       | 2005-2006 | 20051129LALSAS |
|      185 | Parker          | S. Parker       | NBA    | LAL       | 2005-2006 | 20051102LALDEN |
|      186 | K. Bryant       | K. Bryant       | NBA    | LAL       | 2005-2006 | 20051223LALORL |
|      186 | K. Bryant       | K. Bryant       | NBA    | LAL       | 2005-2006 | 20051102LALDEN |
|      186 | Bryant          | K. Bryant       | NBA    | LAL       | 2005-2006 | 20051225LALMIA |
|      187 | Odom            | Odom            | NBA    | LAL       | 2005-2006 | 20051102LALDEN |
|      188 | Mihm            | Mihm            | NBA    | LAL       | 2005-2006 | 20051102LALDEN |
|      189 | K. Brown        | K. Brown        | NBA    | LAL       | 2005-2006 | 20051108LALATL |
|      189 | Brown           | K. Brown        | NBA    | LAL       | 2005-2006 | 20051102LALDEN |
|      190 | George          | George          | NBA    | LAL       | 2005-2006 | 20051102LALDEN |
|      191 | Cook            | Cook            | NBA    | LAL       | 2005-2006 | 20051102LALDEN |
|      192 | McKie           | McKie           | NBA    | LAL       | 2005-2006 | 20051102LALDEN |
|      193 | Vujacic         | Vujacic         | NBA    | LAL       | 2005-2006 | 20051102LALDEN |
|      194 | Bynum           | A. Bynum        | NBA    | LAL       | 2005-2006 | 20051102LALDEN |
|      194 | A. Bynum        | A. Bynum        | NBA    | LAL       | 2005-2006 | 20060411GSWLAL |
|      195 | Profit          | Profit          | NBA    | LAL       | 2005-2006 | 20051102LALDEN |
|      196 | Williams        | J. Williams     | NBA    | MIA       | 2005-2006 | 20051102MIAMEM |
|      196 | J. Williams     | J. Williams     | NBA    | MIA       | 2005-2006 | 20051105MIAMIL |
|      197 | Gasol           | Gasol           | NBA    | MEM       | 2005-2006 | 20051102MIAMEM |
|      198 | Battier         | Battier         | NBA    | MEM       | 2005-2006 | 20051102MIAMEM |
|      199 | Wright          | L. Wright       | NBA    | MEM       | 2005-2006 | 20051104MEMORL |
|      199 | L. Wright       | L. Wright       | NBA    | MEM       | 2005-2006 | 20051102MIAMEM |
|      200 | Walker          | A.Walker        | NBA    | MIA       | 2005-2006 | 20051102MIAMEM |
|      200 | A. Walker       | A.Walker        | NBA    | MIA       | 2005-2006 | 20051103INDMIA |
|      201 | Haslem          | Haslem          | NBA    | MIA       | 2005-2006 | 20051102MIAMEM |
|      202 | E. Jones        | E. Jones        | NBA    | MEM       | 2005-2006 | 20051102MIAMEM |
|      203 | O'Neal          | S. O'Neal       | NBA    | MIA       | 2005-2006 | 20051102MIAMEM |
|      203 | S. O'Neal       | S. O'Neal       | NBA    | MIA       | 2005-2006 | 20051103INDMIA |
|      204 | Wade            | Wade            | NBA    | MIA       | 2005-2006 | 20051102MIAMEM |
|      205 | Stoudamire      | Stoudamire      | NBA    | MEM       | 2005-2006 | 20051102MIAMEM |
|      206 | Mourning        | Mourning        | NBA    | MIA       | 2005-2006 | 20051102MIAMEM |
|      207 | Payton          | Payton          | NBA    | MIA       | 2005-2006 | 20051102MIAMEM |
|      208 | Tsakalidis      | Tsakalidis      | NBA    | MEM       | 2005-2006 | 20051102MIAMEM |
|      209 | M. Miller       | M. Miller       | NBA    | MEM       | 2005-2006 | 20051120MEMDEN |
|      209 | Miller          | M. Miller       | NBA    | MEM       | 2005-2006 | 20051102MIAMEM |
|      210 | B. Jackson      | B. Jackson      | NBA    | MEM       | 2005-2006 | 20051105CLEMEM |
|      210 | Jackson         | B. Jackson      | NBA    | MEM       | 2005-2006 | 20051102MIAMEM |
|      211 | Kapono          | Kapono          | NBA    | MIA       | 2005-2006 | 20051102MIAMEM |
|      212 | D. Jones        | D. Jones        | NBA    | MEM       | 2005-2006 | 20051102MIAMEM |
|      213 | Roberts         | Roberts         | NBA    | MEM       | 2005-2006 | 20051102MIAMEM |
|      214 | Wright          | D. Wright       | NBA    | MIA       | 2005-2006 | 20051112CHAMIA |
|      214 | D. Wright       | D. Wright       | NBA    | MIA       | 2005-2006 | 20051102MIAMEM |
|      215 | Barron          | Barron          | NBA    | MIA       | 2005-2006 | 20051102MIAMEM |
